builder_name:             storebro bruk ab (swe)
type_name:                storebro storebo 340 biscay
category:                 zeiljacht
build_material:           polyester
build_year:               1988.0
asking_price_euros:       94700.0
length_over_all_meters:   11.54
width_meters:             3.8
draft_meters:             1.1
displaces_kgs:            9000.0
ballast_kgs:              None
steering:                 None
engine_name:              volvo
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/92438/XXX
