builder_name:             motiva yachts
type_name:                motiva 43 ds motiva 43 deck salon
category:                 zeiljacht
build_material:           staal
build_year:               2005.0
asking_price_euros:       199000.0
length_over_all_meters:   13.53
width_meters:             3.77
draft_meters:             1.9
displaces_kgs:            15100.0
ballast_kgs:              None
steering:                 wheel
engine_name:              perkins
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/92910/XXX
