builder_name:             robertson and sons ltd.
type_name:                robert clark zeiljacht zeegaand zeilschip
category:                 zeiljacht
build_material:           polyester
build_year:               1981.0
asking_price_euros:       49000.0
length_over_all_meters:   15.18
width_meters:             4.06
draft_meters:             2.25
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              None
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/91336/XXX
