builder_name:             robinhood marine center
type_name:                hood 38 mk ii centreboard
category:                 zeiljacht
build_material:           polyester
build_year:               1989.0
asking_price_euros:       67500.0
length_over_all_meters:   11.6
width_meters:             3.6
draft_meters:             1.4
displaces_kgs:            0.0
ballast_kgs:              None
steering:                 wheel
engine_name:              perkins
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/93206/XXX
