builder_name:             seamaster ltd. (uk)
type_name:                seamaster 925
category:                 zeiljacht
build_material:           polyester
build_year:               1976.0
asking_price_euros:       9500.0
length_over_all_meters:   9.16
width_meters:             3.04
draft_meters:             1.52
displaces_kgs:            None
ballast_kgs:              1700.0
steering:                 tiller
engine_name:              volvo
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/86407/XXX
