builder_name:             cnb (fra)
type_name:                cnb bordeaux 60
category:                 zeiljacht
build_material:           polyester sandwich
build_year:               2009.0
asking_price_euros:       575000.0
length_over_all_meters:   18.38
width_meters:             5.18
draft_meters:             2.95
displaces_kgs:            267000.0
ballast_kgs:              None
steering:                 None
engine_name:              volvo
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/90453/XXX
