builder_name:             pauger carbon ltd.
type_name:                carbon ocean yachts
category:                 zeiljacht
build_material:           polyester
build_year:               2010.0
asking_price_euros:       4160.0
length_over_all_meters:   25.0
width_meters:             5.75
draft_meters:             0.0
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              None
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/88352/XXX
