builder_name:             abeking & rasmussen
type_name:                king 40
category:                 zeiljacht
build_material:           composiet
build_year:               2008.0
asking_price_euros:       199000.0
length_over_all_meters:   12.11
width_meters:             3.7
draft_meters:             2.51
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              None
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/94114/XXX
