builder_name:             robert e. derecktor inc.
type_name:                derecktor shipyards custom built 72 cruising ketch
category:                 zeiljacht
build_material:           staal
build_year:               1976.0
asking_price_euros:       416022.0
length_over_all_meters:   21.95
width_meters:             None
draft_meters:             2.13
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              isuzu
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/92665/XXX
