builder_name:             brjesson brothers
type_name:                j 109
category:                 zeiljacht
build_material:           polyester
build_year:               2005.0
asking_price_euros:       119900.0
length_over_all_meters:   10.75
width_meters:             3.5
draft_meters:             2.14
displaces_kgs:            None
ballast_kgs:              None
steering:                 wheel
engine_name:              volvo
engine_build_year:        2005.0
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/94811/XXX
