builder_name:             c. e. ryder
type_name:                e. frandsen denmark colina 41
category:                 zeiljacht
build_material:           overig
build_year:               1983.0
asking_price_euros:       175000.0
length_over_all_meters:   12.5
width_meters:             4.2
draft_meters:             2.0
displaces_kgs:            20000.0
ballast_kgs:              None
steering:                 None
engine_name:              perkins
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/94872/XXX
