builder_name:             kolibri jachtbouw
type_name:                kolibri 950 'johanna'
category:                 zeiljacht
build_material:           woodcore epoxy
build_year:               2000.0
asking_price_euros:       43500.0
length_over_all_meters:   9.5
width_meters:             3.0
draft_meters:             1.15
displaces_kgs:            700.0
ballast_kgs:              None
steering:                 tiller
engine_name:              volvo
engine_build_year:        2000.0
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/91525/XXX
