builder_name:             bianca yachts
type_name:                bianca aphrodite 101
category:                 zeiljacht
build_material:           polyester
build_year:               1980.0
asking_price_euros:       26000.0
length_over_all_meters:   9.95
width_meters:             2.4
draft_meters:             1.75
displaces_kgs:            3200.0
ballast_kgs:              None
steering:                 None
engine_name:              volvo
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/92697/XXX
