builder_name:             wasa yachts
type_name:                wasa 420
category:                 zeiljacht
build_material:           polyester
build_year:               2000.0
asking_price_euros:       159500.0
length_over_all_meters:   12.85
width_meters:             3.6
draft_meters:             2.2
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              None
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/94095/XXX
