builder_name:             taswell yachts
type_name:                asw lbeck 16m aluminium yacht one off
category:                 zeiljacht
build_material:           aluminium
build_year:               1996.0
asking_price_euros:       345000.0
length_over_all_meters:   16.0
width_meters:             4.5
draft_meters:             2.0
displaces_kgs:            18000.0
ballast_kgs:              None
steering:                 None
engine_name:              mtu
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/92627/XXX
