builder_name:             sabre yachts (usa)
type_name:                sabre 386
category:                 zeiljacht
build_material:           polyester
build_year:               2004.0
asking_price_euros:       198000.0
length_over_all_meters:   11.76
width_meters:             3.86
draft_meters:             2.08
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              None
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/89916/XXX
