builder_name:             northern yacht ltd. (can)
type_name:                northern comfort 43
category:                 zeiljacht
build_material:           epoxy composiet
build_year:               2006.0
asking_price_euros:       119000.0
length_over_all_meters:   12.9
width_meters:             4.0
draft_meters:             0.8
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              None
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/89347/XXX
