builder_name:             shipman
type_name:                shipman shipman 28
category:                 zeiljacht
build_material:           overig
build_year:               1975.0
asking_price_euros:       16000.0
length_over_all_meters:   7.12
width_meters:             2.6
draft_meters:             1.55
displaces_kgs:            3000.0
ballast_kgs:              None
steering:                 None
engine_name:              yanmar
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/92693/XXX
