builder_name:             fountaine pajot
type_name:                fountaine pajot lagoon 380
category:                 zeiljacht
build_material:           polyester
build_year:               2003.0
asking_price_euros:       160650.0
length_over_all_meters:   11.55
width_meters:             6.53
draft_meters:             1.15
displaces_kgs:            5900.0
ballast_kgs:              None
steering:                 None
engine_name:              yanmar
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/92553/XXX
