builder_name:             queen long marine
type_name:                queen 34
category:                 zeiljacht
build_material:           polyester
build_year:               2006.0
asking_price_euros:       77000.0
length_over_all_meters:   9.99
width_meters:             3.2
draft_meters:             2.2
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              None
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/88878/XXX
