builder_name:             weathermark sailboats
type_name:                mark ii 7.3 motorboat ( tender )
category:                 None
build_material:           None
build_year:               None
asking_price_euros:       29750.0
length_over_all_meters:   None
width_meters:             None
draft_meters:             None
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              perkins
engine_build_year:        1982.0
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/88044/XXX
