builder_name:             fairey marine ltd
type_name:                marine projects moody  425
category:                 zeiljacht
build_material:           overig
build_year:               1992.0
asking_price_euros:       79000.0
length_over_all_meters:   13.07
width_meters:             4.07
draft_meters:             1.83
displaces_kgs:            9700.0
ballast_kgs:              None
steering:                 None
engine_name:              perkins
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/94868/XXX
