builder_name:             classic yachts inc. (usa)
type_name:                classic sailing yacht
category:                 zeiljacht
build_material:           woodcore epoxy
build_year:               2007.0
asking_price_euros:       300000.0
length_over_all_meters:   16.0
width_meters:             3.6
draft_meters:             2.9
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              None
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/86960/XXX
