builder_name:             saffier yachts
type_name:                saffier 800 cabin
category:                 zeiljacht
build_material:           polyester
build_year:               2004.0
asking_price_euros:       45000.0
length_over_all_meters:   8.0
width_meters:             2.45
draft_meters:             1.03
displaces_kgs:            1600.0
ballast_kgs:              None
steering:                 tiller
engine_name:              yanmar
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/92133/XXX
