builder_name:             lillia (cantiere nautico lillia)
type_name:                cantiere del pardo grand soleil 39
category:                 zeiljacht
build_material:           polyester
build_year:               1986.0
asking_price_euros:       45000.0
length_over_all_meters:   11.97
width_meters:             3.76
draft_meters:             1.9
displaces_kgs:            9500.0
ballast_kgs:              None
steering:                 None
engine_name:              perkins-sabre
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/95123/XXX
