builder_name:             laserperformance
type_name:                laser radiaal
category:                 zeiljacht
build_material:           polyester
build_year:               1990.0
asking_price_euros:       3099.0
length_over_all_meters:   4.23
width_meters:             1.42
draft_meters:             0.15
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              nvt
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/89891/XXX
