builder_name:             islander / tradewind yachts
type_name:                de ruiter beeldsnijder 47 centreboard ketsch
category:                 zeiljacht
build_material:           aluminium
build_year:               1989.0
asking_price_euros:       360000.0
length_over_all_meters:   14.3
width_meters:             4.26
draft_meters:             1.25
displaces_kgs:            12000.0
ballast_kgs:              None
steering:                 None
engine_name:              volvo
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/92535/XXX
