builder_name:             morris yachts
type_name:                morri e para 10,50 sloop
category:                 zeiljacht
build_material:           overig
build_year:               1959.0
asking_price_euros:       29500.0
length_over_all_meters:   10.5
width_meters:             2.1
draft_meters:             2.1
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              drophin
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/94890/XXX
