builder_name:             artekno oy (fin)
type_name:                artekno h 35
category:                 zeiljacht
build_material:           polyester
build_year:               1984.0
asking_price_euros:       19500.0
length_over_all_meters:   10.67
width_meters:             2.6
draft_meters:             1.5
displaces_kgs:            500.0
ballast_kgs:              None
steering:                 tiller
engine_name:              yanmar
engine_build_year:        1984.0
standing_height_meters:   1.75
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/91192/XXX
