builder_name:             seidelmann yachts
type_name:                del pardo grand soleil 45
category:                 zeiljacht
build_material:           polyester
build_year:               1991.0
asking_price_euros:       130000.0
length_over_all_meters:   13.44
width_meters:             4.14
draft_meters:             2.55
displaces_kgs:            13000.0
ballast_kgs:              None
steering:                 None
engine_name:              yanmar
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/94892/XXX
