builder_name:             archambault boats (fra)
type_name:                archambault 35
category:                 zeiljacht
build_material:           polyester
build_year:               2002.0
asking_price_euros:       98500.0
length_over_all_meters:   10.59
width_meters:             3.55
draft_meters:             2.1
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              None
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/89315/XXX
