builder_name:             lillia (cantiere nautico lillia)
type_name:                cantiere del pardo grand soleil 343
category:                 zeiljacht
build_material:           overig
build_year:               1986.0
asking_price_euros:       45000.0
length_over_all_meters:   10.4
width_meters:             3.42
draft_meters:             1.8
displaces_kgs:            4000.0
ballast_kgs:              None
steering:                 None
engine_name:              volvo
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/94879/XXX
