builder_name:             privilege catamarans
type_name:                privilege yachts privilege 435
category:                 zeiljacht
build_material:           polyester
build_year:               2004.0
asking_price_euros:       349000.0
length_over_all_meters:   13.45
width_meters:             7.07
draft_meters:             1.35
displaces_kgs:            8500.0
ballast_kgs:              None
steering:                 None
engine_name:              volvo
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/92587/XXX
