builder_name:             fairey marine ltd
type_name:                marine projects moody 54
category:                 zeiljacht
build_material:           polyester
build_year:               2000.0
asking_price_euros:       382000.0
length_over_all_meters:   16.49
width_meters:             4.61
draft_meters:             1.56
displaces_kgs:            39916.0
ballast_kgs:              None
steering:                 None
engine_name:              yanmar
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/92547/XXX
