builder_name:             csy (caribbean sailing yachts)
type_name:                caribbean 40 knikspant staal
category:                 zeiljacht
build_material:           staal
build_year:               1990.0
asking_price_euros:       65000.0
length_over_all_meters:   11.98
width_meters:             3.95
draft_meters:             2.0
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              None
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/87413/XXX
