builder_name:             winga marin
type_name:                winga 25
category:                 zeiljacht
build_material:           polyester
build_year:               1978.0
asking_price_euros:       12750.0
length_over_all_meters:   7.5
width_meters:             2.8
draft_meters:             0.9
displaces_kgs:            2300.0
ballast_kgs:              None
steering:                 None
engine_name:              volvo
engine_build_year:        1978.0
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/94341/XXX
