builder_name:             queen long marine
type_name:                queen 34
category:                 zeiljacht
build_material:           overig
build_year:               2007.0
asking_price_euros:       65000.0
length_over_all_meters:   9.99
width_meters:             3.3
draft_meters:             2.36
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              None
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/93907/XXX
