builder_name:             huisman (royal huisman shipyard)
type_name:                huisman 37
category:                 zeiljacht
build_material:           aluminium
build_year:               1976.0
asking_price_euros:       59000.0
length_over_all_meters:   11.5
width_meters:             3.75
draft_meters:             2.0
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              None
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/92339/XXX
