builder_name:             mount desert yacht yard
type_name:                mount gay / whitbread
category:                 zeiljacht
build_material:           woodcore epoxy
build_year:               2006.0
asking_price_euros:       42750.0
length_over_all_meters:   10.2
width_meters:             3.25
draft_meters:             2.0
displaces_kgs:            2950.0
ballast_kgs:              None
steering:                 None
engine_name:              vetus
engine_build_year:        2006.0
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/94415/XXX
