builder_name:             wiggers custom yachts ltd.
type_name:                custom line ketch
category:                 zeiljacht
build_material:           staal
build_year:               1981.0
asking_price_euros:       188000.0
length_over_all_meters:   14.8
width_meters:             4.2
draft_meters:             1.9
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              None
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/92080/XXX
