builder_name:             melges performance sailboats
type_name:                performance sailcraft europe ltd sb20
category:                 zeiljacht
build_material:           onbekend
build_year:               2003.0
asking_price_euros:       14000.0
length_over_all_meters:   6.17
width_meters:             2.15
draft_meters:             1.5
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              None
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/93762/XXX
