builder_name:             finngulf yachts
type_name:                finngulf 33
category:                 zeiljacht
build_material:           polyester
build_year:               1992.0
asking_price_euros:       52500.0
length_over_all_meters:   10.0
width_meters:             3.1
draft_meters:             1.75
displaces_kgs:            None
ballast_kgs:              None
steering:                 tiller
engine_name:              volvo
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/91982/XXX
